facility_id,cehrt_id,developer_name,product_name
100001,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100002,0015C5KQA8EDE40,Cerner Corporation,Soarian Clinicals
100006,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100007,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100008,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
10001,0015CAN28DKT47C,Epic Systems Corporation,EpicCare Inpatient Base
100012,0015CWW3R9FPD02,Epic Systems Corporation,Beacon Cancer Registry Reporting
100014,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100017,0015C1VJL5ZWR8P,"DataMotion, Inc.",DataMotion Direct
100018,0015CU69K04CJ9V,Epic Systems Corporation,Beaker Reportable Labs Reporting
100019,0015CU3CJQ8NPW3,"InterOperability Bidco, Inc., d.b.a. Rhapsody",Corepoint Integration Engine
100022,0015CTV4313HQ0J,Cerner Corporation,Electronic Case Reporting
100023,0015C9JE1VGT1E2,Cerner Corporation,HealthSentry
100025,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100026,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100028,0015CZR0DT3XAB0,"DataMotion, Inc.",DataMotion Direct
100029,0015C28CYJ5LLF4,"DataMotion, Inc.",DataMotion Direct
100030,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100032,0015CHL24QZ8GAF,Epic Systems Corporation,Beacon Cancer Registry Reporting
100034,0015C4J0ZKW5KKJ,Epic Systems Corporation,EpicCare Inpatient Base
100035,0015CQC4AND9RQT,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100038,0015CD44ZFB3ZJS,Epic Systems Corporation,EpicCare Inpatient Base
100039,0015C0BVT3QUF72,Becton Dickinson and Company,HealthSight Advisors
100040,0015C5LFV335W0K,Cerner Corporation,Electronic Case Reporting
100043,0015C2TA6C2GSH7,Cerner Corporation,Antimicrobial Usage and Resistance Reporting
100044,0015C6CMZ6GZP4N,Epic Systems Corporation,Beacon Cancer Registry Reporting
100045,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100046,0015C8XCN16R6V5,Epic Systems Corporation,Beacon Cancer Registry Reporting
100047,0015CPE9ARQ008M,Imprivata,Imprivata FairWarning
100049,0015C622YQ4JDC3,"Surescripts, LLC",Surescripts Clinical Direct Messaging
10005,0015C0HAX4ESQ0D,"Inpriva, Inc.",hDirect Network Services
100050,0015C4VN7FB1UX7,Secure Exchange Solutions,SES Direct
