facility_id,cehrt_id,meets_criteria_for_promoting_interoperability_of_ehrs,start_date,end_date
10001,0015CAN28DKT47C,Y,1/1/2023,12/31/2023
10005,0015C0HAX4ESQ0D,Y,1/1/2023,12/31/2023
10006,0015CW76TRC3SVN,Y,1/1/2023,12/31/2023
10007,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10008,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10011,0015C5LFV335W0K,Y,1/1/2023,12/31/2023
10012,0015C8CHE73ABS5,Y,1/1/2023,12/31/2023
10016,0015CEN2HB2EXA1,Y,1/1/2023,12/31/2023
10018,0015CN0ZLY04L17,Y,1/1/2023,12/31/2023
10019,,,1/1/2023,12/31/2023
10021,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10022,0015CJ4T57TWR1R,Y,1/1/2023,12/31/2023
10023,0015CEZ6FY4WR6V,Y,1/1/2023,12/31/2023
10024,0015CG91R3XQ5T3,Y,1/1/2023,12/31/2023
10029,0015C1HRS47CWV4,Y,1/1/2023,12/31/2023
10033,0015CA3TZV3LRM4,Y,1/1/2023,12/31/2023
10034,0015CFG3Q10HY2V,,1/1/2023,12/31/2023
10035,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10036,0015CC4NC7PMU4W,Y,1/1/2023,12/31/2023
10039,0015CV1DWP8EW15,Y,1/1/2023,12/31/2023
10040,0015CPE9ARQ008M,Y,1/1/2023,12/31/2023
10044,0015CRG0QJ69R7T,Y,1/1/2023,12/31/2023
10045,0015C47EGD92VSJ,Y,1/1/2023,12/31/2023
10046,0015C4H2WUK0S3A,Y,1/1/2023,12/31/2023
10049,0015CR8535UDY24,Y,1/1/2023,12/31/2023
10051,0015CFG3Q10HY2V,,1/1/2023,12/31/2023
10052,0015C7URE9RTG1U,Y,1/1/2023,12/31/2023
10055,0015CPE9ARQ008M,Y,1/1/2023,12/31/2023
10056,0015C5LFV335WOK,Y,1/1/2023,12/31/2023
10058,0015CT0PPT32RH0,Y,1/1/2023,12/31/2023
10059,0015CD30BJE5K3L,Y,1/1/2023,12/31/2023
10061,0015CWC4SAB73GB,Y,1/1/2023,12/31/2023
10062,0015CB33X8EL5AZ,,1/1/2023,12/31/2023
10065,0015C0JMU86CL6B,Y,1/1/2023,12/31/2023
10073,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10078,0015C351NUV0GV3,Y,1/1/2023,12/31/2023
10079,0015C0HAX4ESQ0D,Y,1/1/2023,12/31/2023
10083,0015CR8535UDY24,Y,1/1/2023,12/31/2023
10085,0015C9GP30G6V88,Y,1/1/2023,12/31/2023
10086,0015CU43RP0JE55,Y,1/1/2023,12/31/2023
10087,0015C5LFV335W0K,Y,1/1/2023,12/31/2023
10089,0015CEN2HB2EXA1,Y,1/1/2023,12/31/2023
10090,0015C5LFV335WOK,Y,1/1/2023,12/31/2023
10091,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10092,0015C47EGD92VSJ,Y,1/1/2023,12/31/2023
10095,0015CT0PPT32RH0,,1/1/2023,12/31/2023
10097,0015C7URE9RTG1U,Y,1/1/2023,12/31/2023
10099,0015CQ314ZJA5HG,Y,1/1/2023,12/31/2023
10100,0015C97XDZ8XB5U,Y,1/1/2023,12/31/2023
10101,0015CEN2HB2EXA1,Y,1/1/2023,12/31/2023
10102,0015CT0PPT32RH0,,1/1/2023,12/31/2023
10103,0015CEN2HB2EXA1,Y,1/1/2023,12/31/2023
10104,0015CPE9ARQ008M,Y,1/1/2023,12/31/2023
10108,0015CEZ6FY4WR6V,Y,1/1/2023,12/31/2023
10110,,,1/1/2023,12/31/2023
10112,,,1/1/2023,12/31/2023
10113,0015C97XDZ8XB5U,Y,1/1/2023,12/31/2023
10114,0015CBS1QV2E51Z,Y,1/1/2023,12/31/2023
10118,0015C4XYB82NW5B,Y,1/1/2023,12/31/2023
10120,0015CFG3Q10HY2V,,1/1/2023,12/31/2023
10125,0015C8CHE73ABS5,Y,1/1/2023,12/31/2023
10126,0015CFG3Q10HY2V,,1/1/2023,12/31/2023
10128,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10129,0015C97XDZ8XB5U,Y,1/1/2023,12/31/2023
10130,0015C5LFV335WOK,Y,1/1/2023,12/31/2023
10131,0015CR8535UDY24,Y,1/1/2023,12/31/2023
10138,,,1/1/2023,12/31/2023
10139,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
10144,0015CF2C9MW8EHH,Y,1/1/2023,12/31/2023
10148,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10149,0015CEZ6FY4WR6V,Y,1/1/2023,12/31/2023
10150,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10157,0015CW76TRC3SVN,Y,1/1/2023,12/31/2023
10158,0015CY9N5RK82FA,Y,1/1/2023,12/31/2023
10164,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
10168,0015C8CHE73ABS5,Y,1/1/2023,12/31/2023
10169,0015CQ314ZJA5HG,Y,1/1/2023,12/31/2023
10173,0015C5LFV335W0K,Y,1/1/2023,12/31/2023
10174,,,1/1/2023,12/31/2023
10175,0015C069QS9VL47,Y,1/1/2023,12/31/2023
11300,,,1/1/2023,12/31/2023
11302,,,1/1/2023,12/31/2023
11304,0015CVZ8NZE0N5M,Y,1/1/2023,12/31/2023
11305,0015C5LFV335W0K,Y,1/1/2023,12/31/2023
11306,,,1/1/2023,12/31/2023
11307,,,1/1/2023,12/31/2023
13300,,,1/1/2023,12/31/2023
13301,,,1/1/2023,12/31/2023
20001,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
20006,0015CR8535UDY24,Y,1/1/2023,12/31/2023
20008,0015C084N9B8PXS,Y,1/1/2023,12/31/2023
20012,0015C3K3YJ2CSK4,Y,1/1/2023,12/31/2023
20017,0015CYV73ECC6M9,Y,1/1/2023,12/31/2023
20018,0015CNE5E23X9WJ,Y,1/1/2023,12/31/2023
20024,0015CDF3ECN53CG,Y,1/1/2023,12/31/2023
20026,0015C5SDY48QRN1,Y,1/1/2023,12/31/2023
21301,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
21302,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
21304,,,1/1/2023,12/31/2023
21305,,,1/1/2023,12/31/2023
21306,0015CCE123S5WK4,Y,1/1/2023,12/31/2023
21307,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
21308,0015CN9A2LCQ8V2,Y,1/1/2023,12/31/2023
21309,0015CN9A2LCQ8V2,Y,1/1/2023,12/31/2023
21310,0015CN9A2LCQ8V2,Y,1/1/2023,12/31/2023
21311,0015CU48GML2XL5,Y,1/1/2023,12/31/2023
21312,,,1/1/2023,12/31/2023
21313,0015CFG3Q10HY2V,Y,1/1/2023,12/31/2023
21314,,,1/1/2023,12/31/2023
30002,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30006,0015CRN2VX5J03M,Y,1/1/2023,12/31/2023
30007,0015C7EXC2HYX3X,Y,1/1/2023,12/31/2023
30010,0015CPS61Z1JW9R,Y,1/1/2023,12/31/2023
30011,0015CPS61Z1JW9R,Y,1/1/2023,12/31/2023
30012,0015CG9EYN4SXX0,Y,1/1/2023,12/31/2023
30013,0015C8XCN16R6V5,Y,1/1/2023,12/31/2023
30014,0015C0AWU30GFF9,Y,1/1/2023,12/31/2023
30016,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30022,,,1/1/2023,12/31/2023
30023,0015C7EXC2HYX3X,Y,1/1/2023,12/31/2023
30024,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
30030,0015CLT8S0A3MT6,Y,1/1/2023,12/31/2023
30036,0015C2FVF76YBY1,Y,1/1/2023,12/31/2023
30037,0015C28CYJ5LLF4,Y,1/1/2023,12/31/2023
30038,0015C0AWU30GFF9,Y,1/1/2023,12/31/2023
30043,0015CQC4AND9RQT,Y,1/1/2023,12/31/2023
30055,0015C5DAR6S83CP,Y,1/1/2023,12/31/2023
30061,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30062,0015CW4VMW3NMY3,Y,1/1/2023,12/31/2023
30064,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
30065,0015CWG9E12DJH8,Y,1/1/2023,12/31/2023
